date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:20	10945/10945	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/tiberio.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/tiberio.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:21	15745/15745	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/rogerio-temporim-1.jpg	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/rogerio-temporim-1.jpg	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:21	9071/9071	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/mariana.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/mariana.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:21	8677/8677	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/simone.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/simone.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:21	9223/9223	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/jose.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/jose.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:22	7682/7682	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/fabiana.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/fabiana.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:22	9921/9921	---M--	200	added ('OK')	image/png	date:Wed,%2031%20May%202023%2022:29:05%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2023/05/viviane.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2023/05/viviane.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:22	115359/115359	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Oct%202022%2016:51:52%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/10/Fitot.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/10/Fitot.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:22	91882/91882	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Oct%202022%2016:51:52%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/10/Moxaterapia.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/10/Moxaterapia.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
14:02:22	119011/119011	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Oct%202022%2016:51:52%20GMT	https://saberconscienteinstituto.com/wp-content/uploads/2022/10/Untitled-design-44.png	C:/My%20Web%20Sites/holistic/saberconscienteinstituto.com/wp-content/uploads/2022/10/Untitled-design-44.png	(from https://saberconscienteinstituto.com/curso-de-terapias-holisticas/?ref=Y96662712X)
